Which file:,TO average delay,IC average delay,TO misses,IC misses,TO truth delay,IC truth delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRT08_fast_02.csv,0,0,0,0,-394.2105263,-57.86842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1577,2507,3428,4372,5308,6243,7183,8098,9026,9940,10875,11806,12735,13656,14556,15478,16382,17291,18188,19108,20033,20958,21879,22794,23705,24618,25523,26437,27350,28280,29206,30121,31047,31999,32946,33877,34809,35370,,,,,,,,,,,,,,,,,
32,1577,2507,3428,4372,5308,6243,7183,8098,9026,9940,10875,11806,12735,13656,14556,15478,16382,17291,18188,19108,20033,20958,21879,22794,23705,24618,25523,26437,27350,28280,29206,30121,31047,31999,32946,33877,34809,35370,,,,,,,,,,,,,,,,,
24,962,1994,2915,3844,4860,5717,6648,7664,8592,9429,10426,11364,12284,13144,14129,14964,15879,16863,17676,18606,19515,20529,21360,22288,23194,24110,25090,25925,26847,27839,28689,29616,30529,31543,32496,33427,34374,35291,,,,,,,,,,,,,,,,,
24,962,1994,2915,3844,4860,5717,6648,7664,8592,9429,10426,11364,12284,13144,14129,14964,15879,16863,17676,18606,19515,20529,21360,22288,23194,24110,25090,25925,26847,27839,28689,29616,30529,31543,32496,33427,34374,35291,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRT09_fast_01.csv,0,0,0,0,8144.5,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRT09_med_01.csv,0,0,0,0,-564.6341463,-102.7317073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2970,4162,5279,6391,7514,8613,9735,10845,11960,13063,14164,15276,16388,17487,18584,19688,20789,21889,23019,24110,25237,26399,27531,28647,29799,30929,32022,33127,34194,35299,36388,37494,38595,39723,40838,41943,43064,44146,45268,46387,47538,48578,,,,,,,,,,,,,,
2970,4162,5279,6391,7514,8613,9735,10845,11960,13063,14164,15276,16388,17487,18584,19688,20789,21889,23019,24110,25237,26399,27531,28647,29799,30929,32022,33127,34194,35299,36388,37494,38595,39723,40838,41943,43064,44146,45268,46387,47538,48578,,,,,,,,,,,,,,
2277,3460,4625,5749,6865,7981,9079,10203,11373,12495,13597,14630,15810,16899,18008,19049,20220,21341,22355,23475,24638,25703,26865,28051,29174,30264,31389,32556,33640,34680,35818,36861,38024,39076,40257,41365,42423,43583,44689,45794,46937,48121,,,,,,,,,,,,,,
2277,3460,4625,5749,6865,7981,9079,10203,11373,12495,13597,14630,15810,16899,18008,19049,20220,21341,22355,23475,24638,25703,26865,28051,29174,30264,31389,32556,33640,34680,35818,36861,38024,39076,40257,41365,42423,43583,44689,45794,46937,48121,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRT09_slow_01.csv,0,0,0,0,-243.8163265,-24.48979592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5826,7459,9010,10479,11939,13297,14761,16148,17516,18998,20381,21749,23067,24362,24860,27004,28334,29634,31055,32363,33677,36304,37590,38868,40129,41434,42740,45347,46611,47923,49207,50531,51845,53138,54378,55599,56875,58134,59419,60623,61900,63191,64496,65779,67042,68317,69638,71002,72377,,,,,,,
5826,7459,9010,10479,11939,13297,14761,16148,17516,18998,20381,21749,23067,24362,24860,27004,28334,29634,31055,32363,33677,36304,37590,38868,40129,41434,42740,45347,46611,47923,49207,50531,51845,53138,54378,55599,56875,58134,59419,60623,61900,63191,64496,65779,67042,68317,69638,71002,72377,,,,,,,
4895,6465,8026,9709,11029,12544,13956,15373,16753,18184,19626,20986,22267,23667,24961,26294,27616,28860,30227,31638,32952,34290,36809,38187,39451,40723,41938,44638,45851,47207,48435,49819,51145,52348,53622,54935,56181,57441,58710,59905,61211,62498,63798,65062,66350,67547,68820,70236,71629,,,,,,,
4895,6465,8026,9709,11029,12544,13956,15373,16753,18184,19626,20986,22267,23667,24961,26294,27616,28860,30227,31638,32952,34290,36809,38187,39451,40723,41938,44638,45851,47207,48435,49819,51145,52348,53622,54935,56181,57441,58710,59905,61211,62498,63798,65062,66350,67547,68820,70236,71629,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRT09_vary_01.csv,0,0,0,0,-560.6153846,1040.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5189,6474,7731,8991,10008,11037,12085,13143,14220,15302,16377,17440,18494,19549,20607,21665,22615,23534,24463,25416,26383,27351,28319,28847,30281,31257,32330,33411,34478,35560,36655,37764,38862,40015,41258,41862,43691,44912,45494,47363,,,,,,,,,,,,,,,,
5189,6474,7731,8991,10008,11037,12085,13143,14220,15302,16377,17440,18494,19549,20607,21665,22615,23534,24463,25416,26383,27351,28319,28847,30281,31257,32330,33411,34478,35560,36655,37764,38862,40015,41258,41862,43691,44912,45494,47363,,,,,,,,,,,,,,,,
4385,5772,6985,8242,9423,10505,11541,12581,13594,14677,15813,16885,17881,18929,20052,21070,22145,23072,24025,24928,25882,26810,27825,28746,29784,30755,31775,32843,33906,34942,36086,37119,38269,39397,40518,41816,43036,44179,45392,46658,,,,,,,,,,,,,,,,
4385,5772,6985,8242,9423,10505,11541,12581,13594,14677,15813,16885,17881,18929,20052,21070,22145,23072,24025,24928,25882,26810,27825,28746,29784,30755,31775,32843,33906,34942,36086,37119,38269,39397,40518,41816,43036,44179,45392,46658,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRT10_fast_02.csv,0,0,0,0,-1099.857143,-1574.657143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,4004,4956,6900,7857,8817,9772,10703,11674,12656,13626,14597,15554,16527,18491,19435,20385,22322,23258,24199,25149,26101,27069,28013,28974,30324,31821,32779,35084,36574,37556,38529,39500,40520,41087,,,,,,,,,,,,,,,,,,,,,
